log file 

03-05 14:48:57.534   986  1171 V Robocol : received command: CMD_INIT_OP_MODE(11998) Drive in a square - LOG
03-05 14:48:57.547   986  1172 I RobotCore: ******************** START - OPMODE Drive in a square - LOG ********************
03-05 14:48:57.548   986  1182 I RobotCore: Attempting to switch to op mode Drive in a square - LOG
03-05 14:48:57.621   986  1182 V BroadcomColorSensorImpl: internalInitialize()...
03-05 14:48:57.630   986  1182 V BroadcomColorSensorImpl: state: 07 37 20 1d 42 01 c2 
03-05 14:48:57.630   986  1182 V BroadcomColorSensorImpl: setGain(0x01)
03-05 14:48:57.643   986  1182 V BroadcomColorSensorImpl: setLEDParameters(0x37)
03-05 14:48:57.649   986  1182 V BroadcomColorSensorImpl: setProximityPulseCount(0x20)
03-05 14:48:57.655   986  1182 V BroadcomColorSensorImpl: setPSMeasRate(0x1d)
03-05 14:48:57.661   986  1182 V BroadcomColorSensorImpl: setLSMeasRate(0x42)
03-05 14:48:57.670   986  1182 V BroadcomColorSensorImpl: enable() enabled=0x07...
03-05 14:48:57.679   986  1182 V BroadcomColorSensorImpl: ...enable() enabled=0x07
03-05 14:48:57.684   986  1182 V BroadcomColorSensorImpl: state: 07 37 20 1d 42 01 c2 
03-05 14:48:57.684   986  1182 V BroadcomColorSensorImpl: ...internalInitialize()
03-05 14:48:57.694   986  2068 V RobotCore: thread: 'LinearOpMode main' starting...
03-05 14:48:57.710   986  1288 V Robocol : sending CMD_NOTIFY_INIT_OP_MODE(54030), attempt: 0
03-05 14:48:58.852   986  1171 V Robocol : received command: CMD_RUN_OP_MODE(12022) Drive in a square - LOG
03-05 14:48:58.859   986  2068 D RobotCore: ECE008 - Program Start
03-05 14:49:02.518   986  2068 D RobotCore: ECE008 left position 437 velocity 160.0        right position 424 velocity 160.0
03-05 14:49:02.534   986  2068 D RobotCore: ECE008 left position 440 velocity 160.0        right position 426 velocity 140.0
03-05 14:49:02.549   986  2068 D RobotCore: ECE008 left position 442 velocity 160.0        right position 428 velocity 140.0
03-05 14:49:02.563   986  2068 D RobotCore: ECE008 left position 444 velocity 140.0        right position 430 velocity 160.0
03-05 14:49:02.579   986  2068 D RobotCore: ECE008 left position 447 velocity 160.0        right position 433 velocity 160.0
03-05 14:49:02.594   986  2068 D RobotCore: ECE008 left position 449 velocity 160.0        right position 435 velocity 140.0
03-05 14:49:02.609   986  2068 D RobotCore: ECE008 left position 451 velocity 160.0        right position 437 velocity 140.0
03-05 14:49:02.624   986  2068 D RobotCore: ECE008 left position 453 velocity 140.0        right position 440 velocity 160.0
03-05 14:49:02.639   986  2068 D RobotCore: ECE008 left position 456 velocity 160.0        right position 442 velocity 160.0
03-05 14:49:02.655   986  2068 D RobotCore: ECE008 left position 458 velocity 160.0        right position 444 velocity 140.0
03-05 14:49:02.670   986  2068 D RobotCore: ECE008 left position 460 velocity 140.0        right position 447 velocity 160.0
03-05 14:49:02.685   986  2068 D RobotCore: ECE008 left position 463 velocity 140.0        right position 449 velocity 160.0
03-05 14:49:02.701   986  2068 D RobotCore: ECE008 left position 465 velocity 160.0        right position 451 velocity 160.0
03-05 14:49:02.715   986  2068 D RobotCore: ECE008 left position 467 velocity 160.0        right position 453 velocity 160.0
03-05 14:49:02.731   986  2068 D RobotCore: ECE008 left position 469 velocity 160.0        right position 456 velocity 140.0
03-05 14:49:02.749   986  2068 D RobotCore: ECE008 left position 472 velocity 140.0        right position 458 velocity 140.0
03-05 14:49:02.767   986  2068 D RobotCore: ECE008 left position 475 velocity 140.0        right position 461 velocity 140.0
03-05 14:49:02.785   986  2068 D RobotCore: ECE008 left position 477 velocity 140.0        right position 464 velocity 160.0
03-05 14:49:02.801   986  2068 D RobotCore: ECE008 left position 480 velocity 140.0        right position 466 velocity 160.0
03-05 14:49:02.817   986  2068 D RobotCore: ECE008 left position 482 velocity 140.0        right position 469 velocity 160.0
03-05 14:49:02.832   986  2068 D RobotCore: ECE008 left position 484 velocity 140.0        right position 471 velocity 160.0
03-05 14:49:02.848   986  2068 D RobotCore: ECE008 left position 487 velocity 160.0        right position 473 velocity 160.0
03-05 14:49:02.865   986  2068 D RobotCore: ECE008 left position 489 velocity 160.0        right position 476 velocity 140.0
03-05 14:49:02.882   986  2068 D RobotCore: ECE008 left position 492 velocity 160.0        right position 478 velocity 140.0
03-05 14:49:02.900   986  2068 D RobotCore: ECE008 left position 494 velocity 140.0        right position 481 velocity 140.0
03-05 14:49:02.917   986  2068 D RobotCore: ECE008 left position 497 velocity 140.0        right position 484 velocity 140.0
03-05 14:49:02.934   986  2068 D RobotCore: ECE008 left position 499 velocity 140.0        right position 486 velocity 140.0
03-05 14:49:02.951   986  2068 D RobotCore: ECE008 left position 502 velocity 140.0        right position 489 velocity 140.0
03-05 14:49:02.966   986  2068 D RobotCore: ECE008 left position 504 velocity 160.0        right position 491 velocity 160.0
03-05 14:49:02.983   986  2068 D RobotCore: ECE008 left position 507 velocity 160.0        right position 494 velocity 160.0
03-05 14:49:02.999   986  2068 D RobotCore: ECE008 left position 509 velocity 140.0        right position 496 velocity 160.0
03-05 14:49:03.016   986  2068 D RobotCore: ECE008 left position 511 velocity 140.0        right position 499 velocity 140.0
03-05 14:49:03.031   986  2068 D RobotCore: ECE008 left position 514 velocity 140.0        right position 501 velocity 160.0
03-05 14:49:03.047   986  2068 D RobotCore: ECE008 left position 516 velocity 140.0        right position 503 velocity 140.0
03-05 14:49:03.062   986  2068 D RobotCore: ECE008 left position 518 velocity 140.0        right position 505 velocity 160.0
03-05 14:49:03.077   986  2068 D RobotCore: ECE008 left position 521 velocity 160.0        right position 507 velocity 140.0
03-05 14:49:03.093   986  2068 D RobotCore: ECE008 left position 523 velocity 160.0        right position 510 velocity 140.0
03-05 14:49:03.109   986  2068 D RobotCore: ECE008 left position 525 velocity 140.0        right position 512 velocity 140.0
03-05 14:49:03.124   986  2068 D RobotCore: ECE008 left position 527 velocity 140.0        right position 514 velocity 160.0
03-05 14:49:03.139   986  2068 D RobotCore: ECE008 left position 530 velocity 160.0        right position 517 velocity 160.0
03-05 14:49:03.156   986  2068 D RobotCore: ECE008 left position 532 velocity 160.0        right position 519 velocity 140.0
03-05 14:49:03.171   986  2068 D RobotCore: ECE008 left position 534 velocity 140.0        right position 521 velocity 140.0
03-05 14:49:03.186   986  2068 D RobotCore: ECE008 left position 537 velocity 140.0        right position 524 velocity 160.0
03-05 14:49:03.202   986  2068 D RobotCore: ECE008 left position 539 velocity 140.0        right position 526 velocity 140.0
03-05 14:49:03.217   986  2068 D RobotCore: ECE008 left position 541 velocity 160.0        right position 528 velocity 140.0
03-05 14:49:03.233   986  2068 D RobotCore: ECE008 left position 544 velocity 160.0        right position 530 velocity 140.0
03-05 14:49:03.252   986  2068 D RobotCore: ECE008 left position 546 velocity 140.0        right position 533 velocity 160.0
03-05 14:49:03.269   986  2068 D RobotCore: ECE008 left position 549 velocity 140.0        right position 536 velocity 160.0
03-05 14:49:03.286   986  2068 D RobotCore: ECE008 left position 551 velocity 140.0        right position 538 velocity 140.0
03-05 14:49:03.305   986  2068 D RobotCore: ECE008 left position 554 velocity 160.0        right position 541 velocity 140.0
03-05 14:49:03.319   986  2068 D RobotCore: ECE008 left position 556 velocity 140.0        right position 543 velocity 140.0
03-05 14:49:03.335   986  2068 D RobotCore: ECE008 left position 559 velocity 140.0        right position 545 velocity 160.0
03-05 14:49:03.350   986  2068 D RobotCore: ECE008 left position 561 velocity 160.0        right position 548 velocity 160.0
03-05 14:49:03.366   986  2068 D RobotCore: ECE008 left position 563 velocity 160.0        right position 550 velocity 140.0
03-05 14:49:03.381   986  2068 D RobotCore: ECE008 left position 566 velocity 160.0        right position 553 velocity 140.0
03-05 14:49:03.397   986  2068 D RobotCore: ECE008 left position 568 velocity 140.0        right position 555 velocity 160.0
03-05 14:49:03.412   986  2068 D RobotCore: ECE008 left position 570 velocity 140.0        right position 557 velocity 140.0
03-05 14:49:03.427   986  2068 D RobotCore: ECE008 left position 573 velocity 160.0        right position 559 velocity 140.0
03-05 14:49:03.442   986  2068 D RobotCore: ECE008 left position 575 velocity 160.0        right position 561 velocity 140.0
03-05 14:49:03.457   986  2068 D RobotCore: ECE008 left position 577 velocity 140.0        right position 563 velocity 140.0
03-05 14:49:03.472   986  2068 D RobotCore: ECE008 left position 579 velocity 140.0        right position 566 velocity 140.0
03-05 14:49:03.487   986  2068 D RobotCore: ECE008 left position 581 velocity 160.0        right position 568 velocity 160.0
03-05 14:49:03.504   986  2068 D RobotCore: ECE008 left position 584 velocity 160.0        right position 570 velocity 160.0
03-05 14:49:03.521   986  2068 D RobotCore: ECE008 left position 586 velocity 140.0        right position 573 velocity 160.0
03-05 14:49:03.537   986  2068 D RobotCore: ECE008 left position 589 velocity 140.0        right position 575 velocity 140.0
03-05 14:49:03.552   986  2068 D RobotCore: ECE008 left position 591 velocity 140.0        right position 577 velocity 140.0
03-05 14:49:03.568   986  2068 D RobotCore: ECE008 left position 593 velocity 160.0        right position 580 velocity 140.0
03-05 14:49:03.585   986  2068 D RobotCore: ECE008 left position 596 velocity 160.0        right position 582 velocity 140.0
03-05 14:49:03.600   986  2068 D RobotCore: ECE008 left position 598 velocity 140.0        right position 584 velocity 140.0
03-05 14:49:03.617   986  2068 D RobotCore: ECE008 left position 601 velocity 140.0        right position 587 velocity 160.0
03-05 14:49:03.632   986  2068 D RobotCore: ECE008 left position 603 velocity 140.0        right position 589 velocity 160.0
03-05 14:49:03.647   986  2068 D RobotCore: ECE008 left position 605 velocity 160.0        right position 591 velocity 140.0
03-05 14:49:03.662   986  2068 D RobotCore: ECE008 left position 608 velocity 160.0        right position 593 velocity 140.0
03-05 14:49:03.677   986  2068 D RobotCore: ECE008 left position 610 velocity 140.0        right position 596 velocity 160.0
03-05 14:49:03.693   986  2068 D RobotCore: ECE008 left position 612 velocity 140.0        right position 598 velocity 140.0
03-05 14:49:03.707   986  2068 D RobotCore: ECE008 left position 615 velocity 160.0        right position 600 velocity 140.0
03-05 14:49:03.724   986  2068 D RobotCore: ECE008 left position 617 velocity 160.0        right position 603 velocity 140.0
03-05 14:49:03.741   986  2068 D RobotCore: ECE008 left position 619 velocity 140.0        right position 605 velocity 160.0
03-05 14:49:03.757   986  2068 D RobotCore: ECE008 left position 622 velocity 140.0        right position 608 velocity 140.0
03-05 14:49:03.775   986  2068 D RobotCore: ECE008 left position 624 velocity 140.0        right position 610 velocity 140.0
03-05 14:49:03.792   986  2068 D RobotCore: ECE008 left position 627 velocity 140.0        right position 613 velocity 140.0
03-05 14:49:03.807   986  2068 D RobotCore: ECE008 left position 629 velocity 160.0        right position 615 velocity 160.0
03-05 14:49:03.823   986  2068 D RobotCore: ECE008 left position 632 velocity 160.0        right position 617 velocity 160.0
03-05 14:49:03.837   986  2068 D RobotCore: ECE008 left position 634 velocity 140.0        right position 620 velocity 140.0
03-05 14:49:03.853   986  2068 D RobotCore: ECE008 left position 636 velocity 140.0        right position 622 velocity 140.0
03-05 14:49:03.869   986  2068 D RobotCore: ECE008 left position 639 velocity 160.0        right position 624 velocity 140.0
03-05 14:49:03.884   986  2068 D RobotCore: ECE008 left position 641 velocity 160.0        right position 627 velocity 160.0
03-05 14:49:03.898   986  2068 D RobotCore: ECE008 left position 643 velocity 140.0        right position 629 velocity 160.0
03-05 14:49:03.913   986  2068 D RobotCore: ECE008 left position 646 velocity 140.0        right position 631 velocity 140.0
03-05 14:49:03.929   986  2068 D RobotCore: ECE008 left position 648 velocity 160.0        right position 633 velocity 140.0
03-05 14:49:03.944   986  2068 D RobotCore: ECE008 left position 650 velocity 160.0        right position 636 velocity 160.0
03-05 14:49:03.958   986  2068 D RobotCore: ECE008 left position 652 velocity 140.0        right position 638 velocity 160.0
03-05 14:49:03.975   986  2068 D RobotCore: ECE008 left position 655 velocity 140.0        right position 641 velocity 160.0
03-05 14:49:03.991   986  2068 D RobotCore: ECE008 left position 657 velocity 160.0        right position 643 velocity 160.0
03-05 14:49:04.006   986  2068 D RobotCore: ECE008 left position 660 velocity 160.0        right position 645 velocity 140.0
03-05 14:49:04.025   986  2068 D RobotCore: ECE008 left position 662 velocity 160.0        right position 648 velocity 140.0
03-05 14:49:04.042   986  2068 D RobotCore: ECE008 left position 665 velocity 160.0        right position 651 velocity 160.0
03-05 14:49:04.057   986  2068 D RobotCore: ECE008 left position 667 velocity 160.0        right position 653 velocity 160.0
03-05 14:49:04.073   986  2068 D RobotCore: ECE008 left position 670 velocity 160.0        right position 656 velocity 160.0
03-05 14:49:04.089   986  2068 D RobotCore: ECE008 left position 672 velocity 160.0        right position 658 velocity 140.0
03-05 14:49:04.104   986  2068 D RobotCore: ECE008 left position 675 velocity 160.0        right position 661 velocity 160.0
03-05 14:49:04.119   986  2068 D RobotCore: ECE008 left position 677 velocity 160.0        right position 663 velocity 160.0
03-05 14:49:04.136   986  2068 D RobotCore: ECE008 left position 680 velocity 160.0        right position 666 velocity 160.0
03-05 14:49:04.152   986  2068 D RobotCore: ECE008 left position 682 velocity 140.0        right position 668 velocity 160.0
03-05 14:49:04.167   986  2068 D RobotCore: ECE008 left position 684 velocity 160.0        right position 671 velocity 160.0
03-05 14:49:04.183   986  2068 D RobotCore: ECE008 left position 687 velocity 160.0        right position 673 velocity 160.0
03-05 14:49:04.198   986  2068 D RobotCore: ECE008 left position 689 velocity 140.0        right position 676 velocity 160.0
03-05 14:49:04.215   986  2068 D RobotCore: ECE008 left position 692 velocity 140.0        right position 678 velocity 160.0
03-05 14:49:04.232   986  2068 D RobotCore: ECE008 left position 694 velocity 160.0        right position 681 velocity 140.0
03-05 14:49:04.249   986  2068 D RobotCore: ECE008 left position 697 velocity 160.0        right position 683 velocity 140.0
03-05 14:49:04.267   986  2068 D RobotCore: ECE008 left position 699 velocity 160.0        right position 686 velocity 160.0
03-05 14:49:04.287   986  2068 D RobotCore: ECE008 left position 702 velocity 160.0        right position 689 velocity 160.0
03-05 14:49:04.303   986  2068 D RobotCore: ECE008 left position 705 velocity 160.0        right position 692 velocity 160.0
03-05 14:49:04.320   986  2068 D RobotCore: ECE008 left position 708 velocity 160.0        right position 694 velocity 160.0
03-05 14:49:04.337   986  2068 D RobotCore: ECE008 left position 710 velocity 160.0        right position 697 velocity 140.0
03-05 14:49:04.353   986  2068 D RobotCore: ECE008 left position 713 velocity 160.0        right position 699 velocity 160.0
03-05 14:49:04.369   986  2068 D RobotCore: ECE008 left position 716 velocity 140.0        right position 701 velocity 140.0
03-05 14:49:04.387   986  2068 D RobotCore: ECE008 left position 718 velocity 140.0        right position 704 velocity 160.0
03-05 14:49:04.403   986  2068 D RobotCore: ECE008 left position 721 velocity 160.0        right position 707 velocity 140.0
03-05 14:49:04.419   986  2068 D RobotCore: ECE008 left position 723 velocity 160.0        right position 709 velocity 160.0
03-05 14:49:04.434   986  2068 D RobotCore: ECE008 left position 726 velocity 160.0        right position 711 velocity 160.0
03-05 14:49:04.450   986  2068 D RobotCore: ECE008 left position 728 velocity 160.0        right position 714 velocity 140.0
03-05 14:49:04.466   986  2068 D RobotCore: ECE008 left position 731 velocity 160.0        right position 716 velocity 140.0
03-05 14:49:04.483   986  2068 D RobotCore: ECE008 left position 733 velocity 160.0        right position 718 velocity 140.0
03-05 14:49:04.500   986  2068 D RobotCore: ECE008 left position 736 velocity 160.0        right position 721 velocity 160.0
03-05 14:49:04.518   986  2068 D RobotCore: ECE008 left position 738 velocity 160.0        right position 724 velocity 160.0
03-05 14:49:04.538   986  2068 D RobotCore: ECE008 left position 741 velocity 160.0        right position 727 velocity 160.0
03-05 14:49:04.554   986  2068 D RobotCore: ECE008 left position 744 velocity 160.0        right position 729 velocity 160.0
03-05 14:49:04.570   986  2068 D RobotCore: ECE008 left position 746 velocity 140.0        right position 732 velocity 160.0
03-05 14:49:04.587   986  2068 D RobotCore: ECE008 left position 749 velocity 140.0        right position 734 velocity 140.0
03-05 14:49:04.603   986  2068 D RobotCore: ECE008 left position 751 velocity 140.0        right position 737 velocity 140.0
03-05 14:49:04.618   986  2068 D RobotCore: ECE008 left position 754 velocity 160.0        right position 739 velocity 140.0
03-05 14:49:04.634   986  2068 D RobotCore: ECE008 left position 756 velocity 160.0        right position 742 velocity 160.0
03-05 14:49:04.649   986  2068 D RobotCore: ECE008 left position 759 velocity 140.0        right position 744 velocity 160.0
03-05 14:49:04.664   986  2068 D RobotCore: ECE008 left position 761 velocity 160.0        right position 746 velocity 140.0
03-05 14:49:04.679   986  2068 D RobotCore: ECE008 left position 763 velocity 160.0        right position 749 velocity 160.0
03-05 14:49:04.695   986  2068 D RobotCore: ECE008 left position 766 velocity 160.0        right position 751 velocity 160.0
03-05 14:49:04.710   986  2068 D RobotCore: ECE008 left position 768 velocity 160.0        right position 753 velocity 160.0
03-05 14:49:04.725   986  2068 D RobotCore: ECE008 left position 770 velocity 160.0        right position 756 velocity 160.0
03-05 14:49:04.742   986  2068 D RobotCore: ECE008 left position 773 velocity 160.0        right position 758 velocity 140.0
03-05 14:49:04.757   986  2068 D RobotCore: ECE008 left position 775 velocity 140.0        right position 760 velocity 140.0
03-05 14:49:04.774   986  2068 D RobotCore: ECE008 left position 777 velocity 140.0        right position 763 velocity 140.0
03-05 14:49:04.791   986  2068 D RobotCore: ECE008 left position 780 velocity 160.0        right position 765 velocity 160.0
03-05 14:49:04.806   986  2068 D RobotCore: ECE008 left position 783 velocity 160.0        right position 768 velocity 160.0
03-05 14:49:04.821   986  2068 D RobotCore: ECE008 left position 785 velocity 160.0        right position 770 velocity 140.0
03-05 14:49:04.837   986  2068 D RobotCore: ECE008 left position 787 velocity 160.0        right position 772 velocity 140.0
03-05 14:49:04.852   986  2068 D RobotCore: ECE008 left position 790 velocity 160.0        right position 774 velocity 140.0
03-05 14:49:04.867   986  2068 D RobotCore: ECE008 left position 792 velocity 140.0        right position 777 velocity 140.0
03-05 14:49:04.882   986  2068 D RobotCore: ECE008 left position 795 velocity 160.0        right position 779 velocity 140.0
03-05 14:49:04.898   986  2068 D RobotCore: ECE008 left position 797 velocity 160.0        right position 781 velocity 160.0
03-05 14:49:04.913   986  2068 D RobotCore: ECE008 left position 799 velocity 160.0        right position 784 velocity 160.0
03-05 14:49:04.928   986  2068 D RobotCore: ECE008 left position 801 velocity 160.0        right position 786 velocity 140.0
03-05 14:49:04.944   986  2068 D RobotCore: ECE008 left position 804 velocity 160.0        right position 788 velocity 140.0
03-05 14:49:04.959   986  2068 D RobotCore: ECE008 left position 806 velocity 140.0        right position 790 velocity 140.0
03-05 14:49:04.974   986  2068 D RobotCore: ECE008 left position 808 velocity 140.0        right position 793 velocity 160.0
03-05 14:49:04.989   986  2068 D RobotCore: ECE008 left position 810 velocity 140.0        right position 795 velocity 160.0
03-05 14:49:05.005   986  2068 D RobotCore: ECE008 left position 813 velocity 140.0        right position 797 velocity 140.0
03-05 14:49:05.022   986  2068 D RobotCore: ECE008 left position 815 velocity 140.0        right position 800 velocity 140.0
03-05 14:49:05.039   986  2068 D RobotCore: ECE008 left position 818 velocity 160.0        right position 802 velocity 140.0
03-05 14:49:05.055   986  2068 D RobotCore: ECE008 left position 821 velocity 160.0        right position 805 velocity 160.0
03-05 14:49:05.071   986  2068 D RobotCore: ECE008 left position 823 velocity 160.0        right position 807 velocity 160.0
03-05 14:49:05.086   986  2068 D RobotCore: ECE008 left position 825 velocity 160.0        right position 809 velocity 140.0
03-05 14:49:05.102   986  2068 D RobotCore: ECE008 left position 828 velocity 160.0        right position 812 velocity 140.0
03-05 14:49:05.117   986  2068 D RobotCore: ECE008 left position 830 velocity 140.0        right position 814 velocity 160.0
03-05 14:49:05.134   986  2068 D RobotCore: ECE008 left position 833 velocity 140.0        right position 817 velocity 160.0
03-05 14:49:05.152   986  2068 D RobotCore: ECE008 left position 835 velocity 160.0        right position 819 velocity 160.0
03-05 14:49:05.169   986  2068 D RobotCore: ECE008 left position 838 velocity 160.0        right position 822 velocity 160.0
03-05 14:49:05.187   986  2068 D RobotCore: ECE008 left position 841 velocity 160.0        right position 825 velocity 160.0
03-05 14:49:05.204   986  2068 D RobotCore: ECE008 left position 844 velocity 140.0        right position 827 velocity 160.0
03-05 14:49:05.222   986  2068 D RobotCore: ECE008 left position 846 velocity 140.0        right position 830 velocity 160.0
03-05 14:49:05.239   986  2068 D RobotCore: ECE008 left position 849 velocity 160.0        right position 833 velocity 160.0
03-05 14:49:05.256   986  2068 D RobotCore: ECE008 left position 851 velocity 160.0        right position 835 velocity 140.0
03-05 14:49:05.275   986  2068 D RobotCore: ECE008 left position 854 velocity 160.0        right position 838 velocity 140.0
03-05 14:49:05.295   986  2068 D RobotCore: ECE008 left position 857 velocity 160.0        right position 841 velocity 160.0
03-05 14:49:05.312   986  2068 D RobotCore: ECE008 left position 860 velocity 160.0        right position 844 velocity 160.0
03-05 14:49:05.328   986  2068 D RobotCore: ECE008 left position 862 velocity 140.0        right position 846 velocity 160.0
03-05 14:49:05.343   986  2068 D RobotCore: ECE008 left position 864 velocity 140.0        right position 849 velocity 140.0
03-05 14:49:05.358   986  2068 D RobotCore: ECE008 left position 867 velocity 160.0        right position 851 velocity 140.0
03-05 14:49:05.374   986  2068 D RobotCore: ECE008 left position 869 velocity 160.0        right position 853 velocity 160.0
03-05 14:49:05.389   986  2068 D RobotCore: ECE008 left position 872 velocity 160.0        right position 856 velocity 160.0
03-05 14:49:05.405   986  2068 D RobotCore: ECE008 left position 874 velocity 160.0        right position 858 velocity 140.0
03-05 14:49:05.421   986  2068 D RobotCore: ECE008 left position 877 velocity 140.0        right position 861 velocity 140.0
03-05 14:49:05.436   986  2068 D RobotCore: ECE008 left position 879 velocity 140.0        right position 863 velocity 160.0
03-05 14:49:05.452   986  2068 D RobotCore: ECE008 left position 881 velocity 140.0        right position 865 velocity 160.0
03-05 14:49:05.468   986  2068 D RobotCore: ECE008 left position 884 velocity 160.0        right position 868 velocity 160.0
03-05 14:49:05.483   986  2068 D RobotCore: ECE008 left position 886 velocity 160.0        right position 870 velocity 160.0
03-05 14:49:05.498   986  2068 D RobotCore: ECE008 left position 888 velocity 140.0        right position 873 velocity 160.0
03-05 14:49:05.519   986  2068 D RobotCore: ECE008 left position 891 velocity 160.0        right position 876 velocity 140.0
03-05 14:49:05.536   986  2068 D RobotCore: ECE008 left position 894 velocity 160.0        right position 879 velocity 140.0
03-05 14:49:05.552   986  2068 D RobotCore: ECE008 left position 897 velocity 160.0        right position 881 velocity 160.0
03-05 14:49:05.568   986  2068 D RobotCore: ECE008 left position 899 velocity 140.0        right position 884 velocity 160.0
03-05 14:49:05.588   986  2068 D RobotCore: ECE008 left position 901 velocity 140.0        right position 887 velocity 160.0
03-05 14:49:05.603   986  2068 D RobotCore: ECE008 left position 904 velocity 140.0        right position 889 velocity 140.0
03-05 14:49:05.618   986  2068 D RobotCore: ECE008 left position 907 velocity 160.0        right position 891 velocity 160.0
03-05 14:49:05.633   986  2068 D RobotCore: ECE008 left position 909 velocity 160.0        right position 894 velocity 160.0
03-05 14:49:05.650   986  2068 D RobotCore: ECE008 left position 911 velocity 140.0        right position 896 velocity 160.0
03-05 14:49:05.668   986  2068 D RobotCore: ECE008 left position 914 velocity 140.0        right position 899 velocity 140.0
03-05 14:49:05.685   986  2068 D RobotCore: ECE008 left position 916 velocity 140.0        right position 902 velocity 160.0
03-05 14:49:05.702   986  2068 D RobotCore: ECE008 left position 919 velocity 140.0        right position 904 velocity 160.0
03-05 14:49:05.719   986  2068 D RobotCore: ECE008 left position 921 velocity 140.0        right position 907 velocity 160.0
03-05 14:49:05.734   986  2068 D RobotCore: ECE008 left position 923 velocity 120.0        right position 909 velocity 140.0
03-05 14:49:05.749   986  2068 D RobotCore: ECE008 left position 924 velocity 140.0        right position 911 velocity 140.0
03-05 14:49:05.765   986  2068 D RobotCore: ECE008 left position 926 velocity 120.0        right position 913 velocity 160.0
03-05 14:49:05.781   986  2068 D RobotCore: ECE008 left position 928 velocity 120.0        right position 916 velocity 140.0
03-05 14:49:05.798   986  2068 D RobotCore: ECE008 left position 929 velocity 100.0        right position 918 velocity 140.0
03-05 14:49:05.813   986  2068 D RobotCore: ECE008 left position 931 velocity 80.0        right position 920 velocity 120.0
03-05 14:49:05.828   986  2068 D RobotCore: ECE008 left position 932 velocity 80.0        right position 921 velocity 120.0
03-05 14:49:05.843   986  2068 D RobotCore: ECE008 left position 933 velocity 80.0        right position 923 velocity 120.0
03-05 14:49:05.858   986  2068 D RobotCore: ECE008 left position 934 velocity 80.0        right position 925 velocity 120.0
03-05 14:49:05.874   986  2068 D RobotCore: ECE008 left position 935 velocity 80.0        right position 926 velocity 120.0
03-05 14:49:05.889   986  2068 D RobotCore: ECE008 left position 936 velocity 80.0        right position 928 velocity 100.0
03-05 14:49:05.905   986  2068 D RobotCore: ECE008 left position 937 velocity 60.0        right position 929 velocity 80.0
03-05 14:49:05.921   986  2068 D RobotCore: ECE008 left position 938 velocity 60.0        right position 930 velocity 80.0
03-05 14:49:05.937   986  2068 D RobotCore: ECE008 left position 939 velocity 40.0        right position 931 velocity 80.0
03-05 14:49:05.953   986  2068 D RobotCore: ECE008 left position 940 velocity 60.0        right position 933 velocity 80.0
03-05 14:49:05.969   986  2068 D RobotCore: ECE008 left position 940 velocity 60.0        right position 934 velocity 80.0
03-05 14:49:05.985   986  2068 D RobotCore: ECE008 left position 941 velocity 60.0        right position 935 velocity 60.0
03-05 14:49:06.001   986  2068 D RobotCore: ECE008 left position 942 velocity 40.0        right position 936 velocity 80.0
03-05 14:49:06.018   986  2068 D RobotCore: ECE008 left position 942 velocity 40.0        right position 936 velocity 60.0
03-05 14:49:06.036   986  2068 D RobotCore: ECE008 left position 943 velocity 40.0        right position 937 velocity 60.0
03-05 14:49:06.053   986  2068 D RobotCore: ECE008 left position 944 velocity 40.0        right position 938 velocity 40.0
03-05 14:49:06.069   986  2068 D RobotCore: ECE008 left position 944 velocity 40.0        right position 939 velocity 40.0
03-05 14:49:06.085   986  2068 D RobotCore: ECE008 left position 944 velocity 20.0        right position 940 velocity 40.0
03-05 14:49:06.101   986  2068 D RobotCore: ECE008 left position 944 velocity 20.0        right position 940 velocity 40.0
03-05 14:49:06.117   986  2068 D RobotCore: ECE008 left position 944 velocity 0.0        right position 941 velocity 40.0
03-05 14:49:06.133   986  2068 D RobotCore: ECE008 left position 944 velocity 0.0        right position 941 velocity 40.0
03-05 14:49:06.149   986  2068 D RobotCore: ECE008 left position 944 velocity 0.0        right position 942 velocity 40.0
03-05 14:49:06.165   986  2068 D RobotCore: ECE008 left position 944 velocity 0.0        right position 942 velocity 40.0
03-05 14:49:06.181   986  2068 D RobotCore: ECE008 left position 943 velocity -20.0        right position 943 velocity 40.0
03-05 14:49:06.197   986  2068 D RobotCore: ECE008 left position 943 velocity -20.0        right position 943 velocity 40.0
03-05 14:49:06.212   986  2068 D RobotCore: ECE008 left position 943 velocity -20.0        right position 943 velocity 20.0
03-05 14:49:06.228   986  2068 D RobotCore: ECE008 left position 943 velocity 0.0        right position 944 velocity 40.0
03-05 14:49:06.243   986  2068 D RobotCore: ECE008 left position 942 velocity -20.0        right position 944 velocity 20.0
03-05 14:49:06.259   986  2068 D RobotCore: ECE008 left position 942 velocity -20.0        right position 944 velocity 20.0
03-05 14:49:06.277   986  2068 D RobotCore: ECE008 left position 942 velocity -20.0        right position 944 velocity -0.0
03-05 14:49:06.296   986  2068 D RobotCore: ECE008 left position 941 velocity -20.0        right position 945 velocity -0.0
03-05 14:49:06.313   986  2068 D RobotCore: ECE008 left position 941 velocity -20.0        right position 945 velocity 20.0
03-05 14:49:06.329   986  2068 D RobotCore: ECE008 left position 941 velocity -20.0        right position 945 velocity 20.0
03-05 14:49:06.345   986  2068 D RobotCore: ECE008 left position 940 velocity -20.0        right position 945 velocity 20.0
